manufacturer,model,slug,u_height
Cisco,ASR-9010-AC-V2,asr-9010-ac-v2,21
Cisco,ASR-9010-DC-V2,asr-9010-dc-v2,21
Cisco,ASR-9010-SYS,asr-9010-sys,21
Cisco,ASR-9006-AC-V2,asr-9006-ac-v2,10
Cisco,ASR-9006-DC-V2,asr-9006-dc-v2,10
Cisco,ASR-9006-SYS,asr-9006-sys,10
Cisco,ASR-9922-AC,asr-9922-ac,44
Cisco,ASR-9922-DC,asr-9922-dc,44
Cisco,ASR-9922,asr-9922,44
Cisco,ASR-9912-AC,asr-9912-ac,30
Cisco,ASR-9912-DC,asr-9912-dc,30
Cisco,ASR-9912,asr-9912,30
Cisco,ASR-9910,asr-9910,21
Cisco,ASR-9906,asr-9906,14
Cisco,ASR-9904-AC,asr-9904-ac,6
Cisco,ASR-9904-DC,asr-9904-dc,6
Cisco,ASR-9904,asr-9904,6
