manufacturer,model,slug,u_height
Cisco,SL-1100-8P-IPB,sl-1100-8p-ipb,1
Cisco,SL-1100-4P-IPB,sl-1100-4p-ipb,1
Cisco,SL-1100-2P-IPB,sl-1100-2p-ipb,1
Cisco,SL-1100-8P-APP,sl-1100-8p-app,1
Cisco,SL-1100-4P-APP,sl-1100-4p-app,1
Cisco,SL-1100-2P-APP,sl-1100-2p-app,1
Cisco,SL-1100-8P-SEC,sl-1100-8p-sec,1
Cisco,SL-1100-8P-SECNPE,SL-1100-8P-SECNPE,1
Cisco,SL-1100-4P-SEC,SL-1100-4P-SEC,1
Cisco,SL-1100-4P-SECNPE,SL-1100-4P-SECNPE,1
Cisco,SL-1100-2P-SEC,SL-1100-2P-SEC,1
Cisco,SL-1100-2P-SECNPE,SL-1100-2P-SECNPE,1
Cisco,FL-1100-8P-HSEC,FL-1100-8P-HSEC,1
Cisco,FL-1100-4P-HSEC,FL-1100-4P-HSEC,1
Cisco,FL-1100-2P-HSEC,FL-1100-2P-HSEC,1
