manufacturer,model,slug,u_height
Cisco,WS-C2960XR-24TS-I,ws-c2960xr-24ts-i,1
Cisco,WS-C2960XR-48TS-I,ws-c2960xr-48ts-i,1
Cisco,WS-C2960XR-24TD-I,ws-c2960xr-24td-i,1
Cisco,WS-C2960XR-48TD-I,ws-c2960xr-48td-i,1
Cisco,WS-C2960XR-24PD-I,ws-c2960xr-24pd-i,1
Cisco,WS-C2960XR-48LPD-I,ws-c2960xr-48lpd-i,1
Cisco,WS-C2960XR-24PS-I,ws-c2960xr-24ps-i,1
Cisco,WS-C2960XR-48LPS-I,ws-c2960xr-48lps-i,1
Cisco,WS-C2960XR-48FPD-I,ws-c2960xr-fpd-i,1
Cisco,WS-C2960XR-48FPS-I,ws-c2960xr-fps-i,1
Cisco,WS-C2960X-48FPD-L,ws-c2960x-48fpd-l,1
Cisco,WS-C2960X-48LPD-L,ws-c2960x-48lpd-l,1
Cisco,WS-C2960X-48TD-L,ws-c2960x-48td-l,1
Cisco,WS-C2960X-24PD-L,ws-c2960x-24pd-l,1
Cisco,WS-C2960X-24TD-L,ws-c2960x-24td-l,1
Cisco,WS-C2960X-48FPS-L,ws-c2960x-48fps-l,1
Cisco,WS-C2960X-48LPS-L,ws-c2960x-48lps-l,1
Cisco,WS-C2960X-48TS-L,ws-c2960x-48ts-l,1
Cisco,WS-C2960X-24PSQ-L,ws-c2960x-24psq-l,1
Cisco,WS-C2960X-24TS-L,ws-c2960x-24ts,1
Cisco,WS-C2960X-48TS-LL,ws-c2960x-48ts-ll,1
Cisco,WS-C2960X-24TS-LL,ws-c2960x-24ts-ll,1
